Version,Timestamp,Height,Weight,Wrist Size
1,1478554953418,183,72110,10
2,1478614306603,183,72110,165
3,1478614499984,183,72110,165
4,1478690883013,183,71380,165
5,1478739183435,183,71380,165
6,1478781964815,183,71020,165
7,1478867022311,183,70480,165
