Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477942827763,18506,1,2,0
1477942827764,18506,1,2,0
1477942827765,18508,1,2,0
1477942827766,18507,1,2,0
1477942827767,18507,1,2,0
1477942827768,18507,1,2,0
1477942827769,18508,1,2,0
1477942827770,18505,1,2,0
1477942827771,18505,1,2,0
1477942827772,18505,1,2,0
1477942827773,18502,1,2,0
1477942827774,18504,1,2,0
1477942827775,18504,1,2,0
1477942827776,18504,1,2,0
1477942827777,18506,1,2,0
1477942827778,18505,1,2,0
1477942827779,18502,1,2,0
1477942827780,18504,1,2,0
1477942827781,18502,1,2,0
1477942827782,18505,1,2,0
1477942827783,18504,1,2,0
1477942827784,18501,1,2,0
1477942827785,18504,1,2,0
1477942827786,18502,1,2,0
1477942827787,18501,1,2,0
1477942827788,18501,1,2,0
1477942827789,18501,1,2,0
1477942827790,18503,1,2,0
1477942827791,18502,1,2,0
1477942827792,18500,1,2,0
1477942827793,18503,1,2,0
1477942827794,18532,1,2,0
1477942827795,18518,1,2,0
1477942827796,18521,1,2,0
1477942827797,18525,1,2,0
1477942827798,18523,1,2,0
1477942827799,18524,1,2,0
1477942827800,18527,1,2,0
1477942827801,18527,1,2,0
1477942827802,18525,1,2,0
1477942827803,18526,1,2,0
1477942827804,18527,1,2,0
1477942827805,18526,1,2,0
1477942827806,18528,1,2,0
1477942827807,18529,1,2,0
1477942827808,18528,1,2,0
1477942827809,18531,1,2,0
1477942827810,18532,1,2,0
1477942827811,18530,1,2,0
1477942827812,18531,1,2,0
1477942827813,18532,1,2,0
1477942827814,18532,1,2,0
1477942827815,18533,1,2,0
1477942827816,18532,1,2,0
1477942827817,18532,1,2,0
1477942827818,18531,1,2,0
1477942827819,18531,1,2,0
1477942827820,18532,1,2,0
1477942827821,18531,1,2,0
1477942827822,18532,1,2,0
1477942827823,18533,1,2,0
1477942827824,18533,1,2,0
1477942827825,18533,1,2,0
1477942827826,18533,1,2,0
1477942827827,18533,1,2,0
1477942827828,18532,1,2,0
1477942827829,18534,1,2,0
1477942827830,18534,1,2,0
1477942827831,18531,1,2,0
1477942827832,18529,1,2,0
1477942827833,18532,1,2,0
1477942827834,18529,1,2,0
1477942827835,18530,1,2,0
1477942827836,18531,1,2,0
1477942827837,18528,1,2,0
1477942827838,18530,1,2,0
1477942827839,18530,1,2,0
1477942827840,18528,1,2,0
1477942827841,18527,1,2,0
1477942827842,18529,1,2,0
1477942827843,18529,1,2,0
1477942827844,18528,1,2,0
1477942827845,18527,1,2,0
1477942827846,18527,1,2,0
1477942827847,18528,1,2,0
1477942827848,18526,1,2,0
1477942827849,18527,1,2,0
1477942827850,18527,1,2,0
1477942827851,18523,1,2,0
1477942827852,18522,1,2,0
1477942827853,18525,1,2,0
1477942827854,18524,1,2,0
1477942827855,18525,1,2,0
1477942827856,18524,1,2,0
1477942827857,18523,1,2,0
1477942827858,18522,1,2,0
1477942827859,18524,1,2,0
1477942827860,18524,1,2,0
1477942827861,18524,1,2,0
1477942827862,18524,1,2,0
1477942827863,18522,1,2,0
1477942827864,18523,1,2,0
1477942827865,18522,1,2,0
1477942827866,18523,1,2,0
1477942827867,18524,1,2,0
1477942827868,18521,1,2,0
1477942827869,18521,1,2,0
1477942827870,18521,1,2,0
1477942827871,18522,1,2,0
1477942827872,18524,1,2,0
1477942827873,18524,1,2,0
1477942827874,18522,1,2,0
1477942827875,18522,1,2,0
1477942827876,18523,1,2,0
1477942827877,18524,1,2,0
1477942827878,18524,1,2,0
1477942827879,18523,1,2,0
1477942827880,18525,1,2,0
1477942827881,18526,1,2,0
1477942827882,18525,1,2,0
1477942827883,18527,1,2,0
1477942827884,18527,1,2,0
1477942827885,18526,1,2,0
1477942827886,18526,1,2,0
1477942827887,18526,1,2,0
1477942827888,18527,1,2,0
1477942827889,18529,1,2,0
1477942827890,18530,1,2,0
1477942827891,18528,1,2,0
1477942827892,18527,1,2,0
1477942827893,18528,1,2,0
1477942827894,18569,1,2,0
1477942827895,18555,1,2,0
1477942827896,18558,1,2,0
1477942827897,18558,1,2,0
1477942827898,18559,1,2,0
1477942827899,18558,1,2,0
1477942827900,18558,1,2,0
1477942827901,18560,1,2,0
1477942827902,18560,1,2,0
1477942827903,18560,1,2,0
1477942827904,18560,1,2,0
1477942827905,18562,1,2,0
1477942827906,18562,1,2,0
1477942827907,18560,1,2,0
1477942827908,18561,1,2,0
1477942827909,18561,1,2,0
1477942827910,18560,1,2,0
1477942827911,18559,1,2,0
1477942827912,18561,1,2,0
1477942827913,18561,1,2,0
1477942827914,18562,1,2,0
1477942827915,18562,1,2,0
1477942827916,18560,1,2,0
1477942827917,18562,1,2,0
1477942827918,18563,1,2,0
1477942827919,18563,1,2,0
1477942827920,18560,1,2,0
1477942827921,18564,1,2,0
1477942827922,18565,1,2,0
1477942827923,18561,1,2,0
1477942827924,18562,1,2,0
1477942827925,18562,1,2,0
1477942827926,18562,1,2,0
1477942827927,18564,1,2,0
1477942827928,18562,1,2,0
1477942827929,18562,1,2,0
1477942827930,18563,1,2,0
1477942827931,18562,1,2,0
1477942827932,18562,1,2,0
1477942827933,18559,1,2,0
1477942827934,18560,1,2,0
1477942827935,18562,1,2,0
1477942827936,18562,1,2,0
1477942827937,18562,1,2,0
1477942827938,18563,1,2,0
1477942827939,18563,1,2,0
1477942827940,18562,1,2,0
1477942827941,18562,1,2,0
1477942827942,18561,1,2,0
1477942827943,18562,1,2,0
1477942827944,18561,1,2,0
1477942827945,18561,1,2,0
1477942827946,18562,1,2,0
1477942827947,18559,1,2,0
1477942827948,18559,1,2,0
1477942827949,18559,1,2,0
1477942827950,18559,1,2,0
1477942827951,18556,1,2,0
1477942827952,18556,1,2,0
1477942827953,18559,1,2,0
1477942827954,18558,1,2,0
1477942827955,18556,1,2,0
1477942827956,18555,1,2,0
1477942827957,18554,1,2,0
1477942827958,18556,1,2,0
1477942827959,18557,1,2,0
1477942827960,18556,1,2,0
1477942827961,18555,1,2,0
1477942827962,18552,1,2,0
1477942827963,18555,1,2,0
1477942827964,18553,1,2,0
1477942827965,18555,1,2,0
1477942827966,18552,1,2,0
1477942827967,18553,1,2,0
1477942827968,18552,1,2,0
1477942827969,18552,1,2,0
1477942827970,18547,1,2,0
1477942827971,18548,1,2,0
1477942827972,18551,1,2,0
1477942827973,18549,1,2,0
1477942827974,18551,1,2,0
1477942827975,18550,1,2,0
1477942827976,18549,1,2,0
1477942827977,18549,1,2,0
1477942827978,18551,1,2,0
1477942827979,18547,1,2,0
1477942827980,18550,1,2,0
1477942827981,18545,1,2,0
1477942827982,18544,1,2,0
1477942827983,18546,1,2,0
1477942827984,18544,1,2,0
1477942827985,18546,1,2,0
1477942827986,18544,1,2,0
1477942827987,18544,1,2,0
1477942827988,18545,1,2,0
1477942827989,18545,1,2,0
1477942827990,18543,1,2,0
1477942827991,18544,1,2,0
1477942827992,18544,1,2,0
1477942827993,18543,1,2,0
1477942827994,18592,1,2,0
1477942827995,18579,1,2,0
1477942827996,18580,1,2,0
1477942827997,18580,1,2,0
1477942827998,18581,1,2,0
1477942827999,18581,1,2,0
1477942828000,18580,1,2,0
1477942828001,18582,1,2,0
1477942828002,18580,1,2,0
1477942828003,18581,1,2,0
1477942828004,18583,1,2,0
1477942828005,18583,1,2,0
1477942828006,18583,1,2,0
1477942828007,18582,1,2,0
1477942828008,18583,1,2,0
1477942828009,18583,1,2,0
1477942828010,18583,1,2,0
1477942828011,18582,1,2,0
1477942828012,18584,1,2,0
1477942828013,18584,1,2,0
1477942828014,18583,1,2,0
1477942828015,18582,1,2,0
1477942828016,18583,1,2,0
1477942828017,18581,1,2,0
1477942828018,18583,1,2,0
1477942828019,18582,1,2,0
1477942828020,18582,1,2,0
1477942828021,18581,1,2,0
1477942828022,18578,1,2,0
1477942828023,18582,1,2,0
1477942828024,18582,1,2,0
1477942828025,18581,1,2,0
1477942828026,18581,1,2,0
1477942828027,18582,1,2,0
1477942828028,18578,1,2,0
1477942828029,18580,1,2,0
1477942828030,18578,1,2,0
1477942828031,18579,1,2,0
1477942828032,18577,1,2,0
1477942828033,18577,1,2,0
1477942828034,18576,1,2,0
1477942828035,18576,1,2,0
1477942828036,18577,1,2,0
1477942828037,18577,1,2,0
1477942828038,18578,1,2,0
1477942828039,18575,1,2,0
1477942828040,18576,1,2,0
1477942828041,18576,1,2,0
1477942828042,18577,1,2,0
1477942828043,18577,1,2,0
1477942828044,18576,1,2,0
1477942828045,18574,1,2,0
1477942828046,18574,1,2,0
1477942828047,18574,1,2,0
1477942828048,18573,1,2,0
1477942828049,18572,1,2,0
1477942828050,18571,1,2,0
1477942828051,18571,1,2,0
1477942828052,18570,1,2,0
1477942828053,18570,1,2,0
1477942828054,18570,1,2,0
1477942828055,18569,1,2,0
1477942828056,18568,1,2,0
1477942828057,18567,1,2,0
1477942828058,18568,1,2,0
1477942828059,18567,1,2,0
1477942828060,18566,1,2,0
1477942828061,18565,1,2,0
1477942828062,18565,1,2,0
1477942828063,18565,1,2,0
1477942828064,18564,1,2,0
1477942828065,18563,1,2,0
1477942828066,18562,1,2,0
1477942828067,18562,1,2,0
1477942828068,18562,1,2,0
1477942828069,18561,1,2,0
1477942828070,18562,1,2,0
1477942828071,18561,1,2,0
1477942828072,18560,1,2,0
1477942828073,18561,1,2,0
1477942828074,18559,1,2,0
1477942828075,18561,1,2,0
1477942828076,18559,1,2,0
1477942828077,18557,1,2,0
1477942828078,18558,1,2,0
1477942828079,18558,1,2,0
1477942828080,18556,1,2,0
1477942828081,18561,1,2,0
1477942828082,18557,1,2,0
1477942828083,18559,1,2,0
1477942828084,18558,1,2,0
1477942828085,18558,1,2,0
1477942828086,18557,1,2,0
1477942828087,18559,1,2,0
1477942828088,18552,1,2,0
1477942828089,18556,1,2,0
1477942828090,18558,1,2,0
1477942828091,18558,1,2,0
1477942828092,18558,1,2,0
1477942828093,18558,1,2,0
1477942828094,18573,1,2,0
1477942828095,18561,1,2,0
1477942828096,18562,1,2,0
1477942828097,18561,1,2,0
1477942828098,18562,1,2,0
1477942828099,18562,1,2,0
1477942828100,18560,1,2,0
1477942828101,18560,1,2,0
1477942828102,18563,1,2,0
1477942828103,18560,1,2,0
1477942828104,18556,1,2,0
1477942828105,18558,1,2,0
1477942828106,18562,1,2,0
1477942828107,18562,1,2,0
1477942828108,18561,1,2,0
1477942828109,18563,1,2,0
1477942828110,18560,1,2,0
1477942828111,18562,1,2,0
1477942828112,18561,1,2,0
1477942828113,18563,1,2,0
1477942828114,18561,1,2,0
1477942828115,18562,1,2,0
1477942828116,18561,1,2,0
1477942828117,18562,1,2,0
1477942828118,18562,1,2,0
1477942828119,18563,1,2,0
1477942828120,18563,1,2,0
1477942828121,18559,1,2,0
1477942828122,18561,1,2,0
1477942828123,18561,1,2,0
1477942828124,18562,1,2,0
1477942828125,18562,1,2,0
1477942828126,18561,1,2,0
1477942828127,18560,1,2,0
1477942828128,18559,1,2,0
1477942828129,18561,1,2,0
1477942828130,18560,1,2,0
1477942828131,18561,1,2,0
1477942828132,18560,1,2,0
1477942828133,18560,1,2,0
1477942828134,18559,1,2,0
1477942828135,18560,1,2,0
1477942828136,18557,1,2,0
1477942828137,18560,1,2,0
1477942828138,18560,1,2,0
1477942828139,18561,1,2,0
1477942828140,18559,1,2,0
1477942828141,18557,1,2,0
1477942828142,18559,1,2,0
1477942828143,18557,1,2,0
1477942828144,18559,1,2,0
1477942828145,18557,1,2,0
1477942828146,18559,1,2,0
1477942828147,18556,1,2,0
1477942828148,18557,1,2,0
1477942828149,18557,1,2,0
1477942828150,18554,1,2,0
1477942828151,18553,1,2,0
1477942828152,18553,1,2,0
1477942828153,18556,1,2,0
1477942828154,18557,1,2,0
1477942828155,18557,1,2,0
1477942828156,18555,1,2,0
1477942828157,18554,1,2,0
1477942828158,18553,1,2,0
1477942828159,18554,1,2,0
1477942828160,18554,1,2,0
1477942828161,18554,1,2,0
1477942828162,18554,1,2,0
1477942828163,18554,1,2,0
1477942828164,18554,1,2,0
1477942828165,18553,1,2,0
1477942828166,18553,1,2,0
1477942828167,18551,1,2,0
1477942828168,18552,1,2,0
1477942828169,18551,1,2,0
1477942828170,18552,1,2,0
1477942828171,18552,1,2,0
1477942828172,18549,1,2,0
1477942828173,18552,1,2,0
1477942828174,18552,1,2,0
1477942828175,18552,1,2,0
1477942828176,18552,1,2,0
1477942828177,18551,1,2,0
1477942828178,18552,1,2,0
1477942828179,18550,1,2,0
1477942828180,18552,1,2,0
1477942828181,18551,1,2,0
1477942828182,18551,1,2,0
1477942828183,18549,1,2,0
1477942828184,18548,1,2,0
1477942828185,18548,1,2,0
1477942828186,18550,1,2,0
1477942828187,18548,1,2,0
1477942828188,18547,1,2,0
1477942828189,18549,1,2,0
1477942828190,18550,1,2,0
1477942828191,18550,1,2,0
1477942828192,18549,1,2,0
1477942828193,18548,1,2,0
1477942828194,18553,1,2,0
1477942828195,18538,1,2,0
1477942828196,18541,1,2,0
1477942828197,18541,1,2,0
1477942828198,18542,1,2,0
1477942828199,18541,1,2,0
1477942828200,18540,1,2,0
1477942828201,18538,1,2,0
1477942828202,18539,1,2,0
1477942828203,18542,1,2,0
1477942828204,18540,1,2,0
1477942828205,18540,1,2,0
1477942828206,18541,1,2,0
1477942828207,18539,1,2,0
1477942828208,18537,1,2,0
1477942828209,18541,1,2,0
1477942828210,18541,1,2,0
1477942828211,18539,1,2,0
1477942828212,18540,1,2,0
1477942828213,18541,1,2,0
1477942828214,18542,1,2,0
1477942828215,18541,1,2,0
1477942828216,18541,1,2,0
1477942828217,18540,1,2,0
1477942828218,18540,1,2,0
1477942828219,18540,1,2,0
1477942828220,18540,1,2,0
1477942828221,18539,1,2,0
1477942828222,18540,1,2,0
1477942828223,18535,1,2,0
1477942828224,18537,1,2,0
1477942828225,18541,1,2,0
1477942828226,18541,1,2,0
1477942828227,18542,1,2,0
1477942828228,18541,1,2,0
1477942828229,18541,1,2,0
1477942828230,18541,1,2,0
1477942828231,18543,1,2,0
1477942828232,18542,1,2,0
1477942828233,18542,1,2,0
1477942828234,18546,1,2,0
1477942828235,18542,1,2,0
1477942828236,18545,1,2,0
1477942828237,18544,1,2,0
1477942828238,18543,1,2,0
1477942828239,18542,1,2,0
1477942828240,18543,1,2,0
1477942828241,18547,1,2,0
1477942828242,18545,1,2,0
1477942828243,18544,1,2,0
1477942828244,18547,1,2,0
1477942828245,18546,1,2,0
1477942828246,18547,1,2,0
1477942828247,18547,1,2,0
1477942828248,18545,1,2,0
1477942828249,18545,1,2,0
1477942828250,18546,1,2,0
1477942828251,18545,1,2,0
1477942828252,18546,1,2,0
1477942828253,18545,1,2,0
1477942828254,18546,1,2,0
1477942828255,18547,1,2,0
1477942828256,18547,1,2,0
1477942828257,18547,1,2,0
1477942828258,18546,1,2,0
1477942828259,18548,1,2,0
1477942828260,18548,1,2,0
1477942828261,18547,1,2,0
1477942828262,18548,1,2,0
1477942828263,18546,1,2,0
1477942828264,18548,1,2,0
1477942828265,18547,1,2,0
1477942828266,18546,1,2,0
1477942828267,18547,1,2,0
1477942828268,18547,1,2,0
1477942828269,18547,1,2,0
1477942828270,18546,1,2,0
1477942828271,18548,1,2,0
1477942828272,18545,1,2,0
1477942828273,18544,1,2,0
1477942828274,18546,1,2,0
1477942828275,18545,1,2,0
1477942828276,18546,1,2,0
1477942828277,18546,1,2,0
1477942828278,18546,1,2,0
1477942828279,18546,1,2,0
1477942828280,18545,1,2,0
1477942828281,18544,1,2,0
1477942828282,18545,1,2,0
1477942828283,18545,1,2,0
1477942828284,18545,1,2,0
1477942828285,18546,1,2,0
1477942828286,18544,1,2,0
1477942828287,18546,1,2,0
1477942828288,18543,1,2,0
1477942828289,18543,1,2,0
1477942828290,18543,1,2,0
1477942828291,18542,1,2,0
1477942828292,18541,1,2,0
1477942828293,18542,1,2,0
1477942828294,18554,1,2,0
1477942828295,18541,1,2,0
1477942828296,18539,1,2,0
1477942828297,18540,1,2,0
1477942828298,18540,1,2,0
1477942828299,18541,1,2,0
1477942828300,18540,1,2,0
1477942828301,18541,1,2,0
1477942828302,18539,1,2,0
1477942828303,18540,1,2,0
1477942828304,18540,1,2,0
1477942828305,18541,1,2,0
1477942828306,18543,1,2,0
1477942828307,18543,1,2,0
1477942828308,18543,1,2,0
1477942828309,18542,1,2,0
1477942828310,18543,1,2,0
1477942828311,18540,1,2,0
1477942828312,18538,1,2,0
1477942828313,18538,1,2,0
1477942828314,18538,1,2,0
1477942828315,18540,1,2,0
1477942828316,18538,1,2,0
1477942828317,18539,1,2,0
1477942828318,18540,1,2,0
1477942828319,18536,1,2,0
1477942828320,18540,1,2,0
1477942828321,18539,1,2,0
1477942828322,18539,1,2,0
1477942828323,18540,1,2,0
1477942828324,18539,1,2,0
1477942828325,18537,1,2,0
1477942828326,18537,1,2,0
1477942828327,18537,1,2,0
1477942828328,18537,1,2,0
1477942828329,18535,1,2,0
1477942828330,18536,1,2,0
1477942828331,18536,1,2,0
1477942828332,18536,1,2,0
1477942828333,18536,1,2,0
1477942828334,18534,1,2,0
1477942828335,18536,1,2,0
1477942828336,18534,1,2,0
1477942828337,18535,1,2,0
1477942828338,18533,1,2,0
1477942828339,18534,1,2,0
1477942828340,18537,1,2,0
1477942828341,18527,1,2,0
1477942828342,18532,1,2,0
1477942828343,18532,1,2,0
1477942828344,18530,1,2,0
1477942828345,18529,1,2,0
1477942828346,18530,1,2,0
1477942828347,18529,1,2,0
1477942828348,18527,1,2,0
1477942828349,18529,1,2,0
1477942828350,18528,1,2,0
1477942828351,18529,1,2,0
1477942828352,18528,1,2,0
1477942828353,18530,1,2,0
1477942828354,18528,1,2,0
1477942828355,18527,1,2,0
1477942828356,18528,1,2,0
1477942828357,18527,1,2,0
1477942828358,18528,1,2,0
1477942828359,18529,1,2,0
1477942828360,18528,1,2,0
1477942828361,18527,1,2,0
1477942828362,18527,1,2,0
1477942828363,18528,1,2,0
1477942828364,18527,1,2,0
1477942828365,18527,1,2,0
1477942828366,18529,1,2,0
1477942828367,18528,1,2,0
1477942828368,18527,1,2,0
1477942828369,18526,1,2,0
1477942828370,18525,1,2,0
1477942828371,18527,1,2,0
1477942828372,18525,1,2,0
1477942828373,18525,1,2,0
1477942828374,18526,1,2,0
1477942828375,18528,1,2,0
1477942828376,18527,1,2,0
1477942828377,18526,1,2,0
1477942828378,18525,1,2,0
1477942828379,18528,1,2,0
1477942828380,18525,1,2,0
1477942828381,18526,1,2,0
1477942828382,18526,1,2,0
1477942828383,18526,1,2,0
1477942828384,18527,1,2,0
1477942828385,18525,1,2,0
1477942828386,18524,1,2,0
1477942828387,18524,1,2,0
1477942828388,18524,1,2,0
1477942828389,18524,1,2,0
1477942828390,18525,1,2,0
1477942828391,18527,1,2,0
1477942828392,18525,1,2,0
1477942828393,18525,1,2,0
1477942828394,18571,1,2,0
1477942828395,18559,1,2,0
1477942828396,18559,1,2,0
1477942828397,18562,1,2,0
1477942828398,18558,1,2,0
1477942828399,18560,1,2,0
1477942828400,18560,1,2,0
1477942828401,18559,1,2,0
1477942828402,18559,1,2,0
1477942828403,18558,1,2,0
1477942828404,18560,1,2,0
1477942828405,18562,1,2,0
1477942828406,18560,1,2,0
1477942828407,18560,1,2,0
