Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477943196385,18226,1,2,0
1477943196386,18226,1,2,0
1477943196387,18225,1,2,0
1477943196388,18223,1,2,0
1477943196389,18226,1,2,0
1477943196390,18227,1,2,0
1477943196391,18227,1,2,0
1477943196392,18229,1,2,0
1477943196393,18230,1,2,0
1477943196394,18251,1,2,0
1477943196395,18243,1,2,0
1477943196396,18245,1,2,0
1477943196397,18243,1,2,0
1477943196398,18240,1,2,0
1477943196399,18243,1,2,0
1477943196400,18244,1,2,0
1477943196401,18242,1,2,0
1477943196402,18242,1,2,0
1477943196403,18243,1,2,0
1477943196404,18241,1,2,0
1477943196405,18241,1,2,0
1477943196406,18240,1,2,0
1477943196407,18241,1,2,0
1477943196408,18239,1,2,0
1477943196409,18239,1,2,0
1477943196410,18237,1,2,0
1477943196411,18238,1,2,0
1477943196412,18237,1,2,0
1477943196413,18239,1,2,0
1477943196414,18237,1,2,0
1477943196415,18236,1,2,0
1477943196416,18236,1,2,0
1477943196417,18235,1,2,0
1477943196418,18234,1,2,0
1477943196419,18234,1,2,0
1477943196420,18234,1,2,0
1477943196421,18233,1,2,0
1477943196422,18232,1,2,0
1477943196423,18232,1,2,0
1477943196424,18230,1,2,0
1477943196425,18229,1,2,0
1477943196426,18229,1,2,0
1477943196427,18230,1,2,0
1477943196428,18230,1,2,0
1477943196429,18228,1,2,0
1477943196430,18231,1,2,0
1477943196431,18227,1,2,0
1477943196432,18226,1,2,0
1477943196433,18228,1,2,0
1477943196434,18226,1,2,0
1477943196435,18224,1,2,0
1477943196436,18227,1,2,0
1477943196437,18227,1,2,0
1477943196438,18226,1,2,0
1477943196439,18225,1,2,0
1477943196440,18224,1,2,0
1477943196441,18225,1,2,0
1477943196442,18224,1,2,0
1477943196443,18221,1,2,0
1477943196444,18222,1,2,0
1477943196445,18221,1,2,0
1477943196446,18221,1,2,0
1477943196447,18223,1,2,0
1477943196448,18221,1,2,0
1477943196449,18218,1,2,0
1477943196450,18216,1,2,0
1477943196451,18218,1,2,0
1477943196452,18217,1,2,0
1477943196453,18218,1,2,0
1477943196454,18218,1,2,0
1477943196455,18218,1,2,0
1477943196456,18217,1,2,0
1477943196457,18216,1,2,0
1477943196458,18214,1,2,0
1477943196459,18215,1,2,0
1477943196460,18213,1,2,0
1477943196461,18214,1,2,0
1477943196462,18214,1,2,0
1477943196463,18215,1,2,0
1477943196464,18215,1,2,0
1477943196465,18213,1,2,0
1477943196466,18209,1,2,0
1477943196467,18210,1,2,0
1477943196468,18211,1,2,0
1477943196469,18211,1,2,0
1477943196470,18210,1,2,0
1477943196471,18211,1,2,0
1477943196472,18211,1,2,0
1477943196473,18211,1,2,0
1477943196474,18210,1,2,0
1477943196475,18209,1,2,0
1477943196476,18208,1,2,0
1477943196477,18209,1,2,0
1477943196478,18209,1,2,0
