Timestamp,Count,Configuration Version,Status Version,Calibration Action,
1477322883292,21763,1,1,1,
1477322884292,21778,1,1,0,
1477322885292,21782,1,1,0,
1477322886292,21760,1,1,0,
1477322887292,21724,1,1,0,
1477322888292,21740,1,1,0,
1477322889292,21761,1,1,0,
1477322890292,21788,1,1,0,
1477322891292,21767,1,1,0,
1477322892292,21776,1,1,0,
1477322893292,21790,1,1,0,
1477322894292,21801,1,1,0,
1477322895292,21813,1,1,0,
1477322896292,21814,1,1,0,
1477322897292,21819,1,1,0,
1477322898292,21811,1,1,0,
1477322899292,21829,1,1,0,
1477322900292,21817,1,1,0,
1477322901292,21827,1,1,0,
1477322902292,21819,1,1,0,
1477322903292,21830,1,1,0,
1477322904292,21822,1,1,0,
1477322905292,21809,1,1,0,
1477322906292,21808,1,1,0,
1477322907292,21794,1,1,0,
1477322908292,21820,1,1,0,
1477322909292,21795,1,1,0,
1477322910292,21784,1,1,0,
1477322911292,21768,1,1,0,
1477322912292,21798,1,1,0,
1477322913292,21791,1,1,0,
1477322914292,21762,1,1,0,
1477322915292,21792,1,1,0,
1477322916292,21750,1,1,0,
1477322917292,21761,1,1,0,
1477322918292,21765,1,1,0,
1477322919292,21780,1,1,0,
1477322920292,21800,1,1,0,
1477322921292,21776,1,1,0,
1477322922292,21786,1,1,0,
1477322923292,21797,1,1,0,
1477322924292,21801,1,1,0,
1477322925292,21776,1,1,0,
1477322926292,21808,1,1,0,
1477322927292,21770,1,1,0,
1477322928292,21765,1,1,0,
1477322929292,21762,1,1,0,
1477322930292,21767,1,1,0,
1477322931292,21810,1,1,0,
1477322932292,21765,1,1,0,
1477322933292,21761,1,1,0,
1477322934292,21760,1,1,0,
1477322935292,21767,1,1,0,
1477322936292,21768,1,1,0,
1477322937292,21801,1,1,0,
1477322938292,21817,1,1,0,
1477322939292,21820,1,1,0,
1477322940292,21800,1,1,0,
1477322941292,21784,1,1,0,
1477322942292,21803,1,1,0,
1477322943292,21677,1,1,0,
1477322944292,21796,1,1,0,
1477322945292,21865,1,1,0,
1477322946292,21872,1,1,0,
1477322947292,21856,1,1,0,
1477322948292,21878,1,1,0,
1477322949292,21861,1,1,0,
1477322950292,21877,1,1,0,
1477322951292,21899,1,1,0,
1477322952292,21900,1,1,0,
1477322953292,21891,1,1,0,
1477322954292,21897,1,1,0,
1477322955292,21936,1,1,0,
1477322956292,21921,1,1,0,
1477322957292,21898,1,1,0,
1477322958292,21903,1,1,0,
1477322959292,21901,1,1,0,
1477322960292,21914,1,1,0,
1477322961292,21910,1,1,0,
1477322962292,21919,1,1,0,
1477322963292,21928,1,1,0,
1477322964292,21932,1,1,0,
1477322965292,21929,1,1,0,
1477322966292,21917,1,1,0,
1477322967292,21893,1,1,0,
1477322968292,21908,1,1,0,
1477322969292,21937,1,1,0,
1477322970292,21901,1,1,0,
1477322971292,21901,1,1,0,
1477322972292,21906,1,1,0,
1477322973292,21923,1,1,0,
1477322974292,21925,1,1,0,
