Timestamp,RSSI,Configuration Version,Status Version,Calibration Action
1478637364607,18014,2,3,11
1478637364608,18012,2,3,0
1478637364609,18014,2,3,0
1478637364610,18013,2,3,0
1478637364611,18014,2,3,0
1478637364612,18017,2,3,0
1478637364613,18016,2,3,0
1478637364614,18015,2,3,0
1478637364615,18014,2,3,0
1478637364616,18015,2,3,0
1478637364617,18015,2,3,0
1478637364618,18015,2,3,0
1478637364619,18015,2,3,0
1478637364620,18016,2,3,0
1478637364621,18016,2,3,0
1478637364622,18018,2,3,0
1478637364623,18018,2,3,0
1478637364624,18018,2,3,0
1478637364625,18017,2,3,0
1478637364626,18018,2,3,0
1478637364627,18020,2,3,0
1478637364628,18020,2,3,0
1478637364629,18018,2,3,0
1478637364630,18016,2,3,0
1478637364631,18017,2,3,0
1478637364632,18018,2,3,0
1478637364633,18017,2,3,0
1478637364634,18018,2,3,0
1478637364635,18019,2,3,0
1478637364636,18018,2,3,0
1478637364637,18018,2,3,0
1478637364638,18017,2,3,0
1478637364639,18018,2,3,0
1478637364640,18017,2,3,0
1478637364641,18016,2,3,0
1478637364642,18018,2,3,0
1478637364643,18018,2,3,0
1478637364644,18018,2,3,0
1478637364645,18019,2,3,0
1478637364646,18018,2,3,0
1478637364647,18018,2,3,0
1478637364648,18020,2,3,0
1478637364649,18016,2,3,0
1478637364650,18017,2,3,0
1478637364651,18016,2,3,0
1478637364652,18017,2,3,0
1478637364653,18017,2,3,0
1478637364654,18017,2,3,0
1478637364655,18016,2,3,0
1478637364656,18016,2,3,0
1478637364657,18015,2,3,0
1478637364658,18013,2,3,0
1478637364659,18014,2,3,0
1478637364660,18014,2,3,0
1478637364661,18013,2,3,0
1478637364662,18013,2,3,0
1478637364663,18013,2,3,0
1478637364664,18012,2,3,0
1478637364665,18011,2,3,0
1478637364666,18010,2,3,0
1478637364667,18009,2,3,0
1478637364668,18009,2,3,0
1478637364669,18008,2,3,0
1478637364670,18008,2,3,0
1478637364671,18007,2,3,0
1478637364672,18007,2,3,0
1478637364673,18007,2,3,0
1478637364674,18004,2,3,0
1478637364675,18004,2,3,0
1478637364676,18002,2,3,0
1478637364677,18001,2,3,0
1478637364678,18000,2,3,0
1478637364679,18000,2,3,0
1478637364680,17998,2,3,0
1478637364681,21976,2,3,0
1478637364682,21992,2,3,0
1478637364683,21685,2,3,0
1478637364684,21974,2,3,0
1478637364685,21993,2,3,0
1478637364686,17994,2,3,0
1478637364687,17992,2,3,0
1478637364688,17992,2,3,0
1478637364689,17989,2,3,0
1478637364690,17990,2,3,0
1478637364691,17991,2,3,0
1478637364692,17989,2,3,0
1478637364693,17990,2,3,0
1478637364694,17989,2,3,0
1478637364695,17987,2,3,0
1478637364696,17987,2,3,0
1478637364697,17985,2,3,0
1478637364698,17985,2,3,0
1478637364699,17984,2,3,0
1478637364700,17983,2,3,0
1478637364701,17984,2,3,0
1478637364702,17983,2,3,0
1478637364703,17982,2,3,0
1478637364704,17982,2,3,0
1478637364705,17982,2,3,0
1478637364706,17980,2,3,0
1478637364707,17980,2,3,0
1478637364708,17976,2,3,0
1478637364709,17980,2,3,0
1478637364710,17978,2,3,0
1478637364711,17979,2,3,0
1478637364712,17977,2,3,0
1478637364713,17975,2,3,0
1478637364714,17978,2,3,0
1478637364715,17978,2,3,0
1478637364716,17975,2,3,0
1478637364717,17974,2,3,0
1478637364718,17977,2,3,0
1478637364719,17974,2,3,0
1478637364720,17974,2,3,0
1478637364721,17973,2,3,0
1478637364722,17976,2,3,0
1478637364723,17974,2,3,0
1478637364724,17974,2,3,0
1478637364725,17974,2,3,0
1478637364726,17973,2,3,0
1478637364727,17972,2,3,0
1478637364728,17972,2,3,0
1478637364729,17971,2,3,0
1478637364730,17972,2,3,0
1478637364731,17972,2,3,0
1478637364732,17970,2,3,0
1478637364733,17970,2,3,0
1478637364734,17971,2,3,0
1478637364735,17971,2,3,0
1478637364736,17969,2,3,0
1478637364737,17969,2,3,0
1478637364738,17971,2,3,0
1478637364739,17968,2,3,0
1478637364740,17968,2,3,0
1478637364741,17969,2,3,0
1478637364742,17969,2,3,0
1478637364743,17967,2,3,0
1478637364744,17968,2,3,0
1478637364745,17966,2,3,0
1478637364746,17966,2,3,0
1478637364747,17966,2,3,0
1478637364748,17966,2,3,0
1478637364749,17966,2,3,0
1478637364750,17965,2,3,0
1478637364751,17965,2,3,0
1478637364752,17965,2,3,0
1478637364753,17967,2,3,0
1478637364754,17965,2,3,0
1478637364755,17964,2,3,0
1478637364756,17962,2,3,0
1478637364757,17962,2,3,0
1478637364758,17962,2,3,0
1478637364759,17963,2,3,0
1478637364760,17963,2,3,0
1478637364761,17963,2,3,0
1478637364762,17962,2,3,0
1478637364763,17962,2,3,0
1478637364764,17961,2,3,0
1478637364765,17960,2,3,0
1478637364766,17962,2,3,0
1478637364767,17961,2,3,0
1478637364768,17961,2,3,0
1478637364769,17962,2,3,0
1478637364770,17961,2,3,0
1478637364771,17961,2,3,0
1478637364772,17960,2,3,0
1478637364773,17961,2,3,0
1478637364774,17961,2,3,0
1478637364775,17960,2,3,0
1478637364776,17959,2,3,0
1478637364777,17961,2,3,0
