Timestamp,RSSI,Configuration Version,Status Version,Calibration Action
1478619519743,17473,2,3,9
1478619519744,17490,2,3,0
1478619519745,17468,2,3,0
1478619519746,17491,2,3,0
1478619519747,17488,2,3,0
1478619519748,17492,2,3,0
1478619519749,17488,2,3,0
1478619519750,17465,2,3,0
1478619519751,17494,2,3,0
1478619519752,17442,2,3,0
1478619519753,17487,2,3,0
1478619519754,17486,2,3,0
1478619519755,17514,2,3,0
1478619519756,17412,2,3,0
1478619519757,17542,2,3,0
1478619519758,17413,2,3,0
1478619519759,18658,2,3,0
1478619519760,18672,2,3,0
1478619519761,18673,2,3,0
1478619519762,18667,2,3,0
1478619519763,17415,2,3,0
1478619519764,17501,2,3,0
1478619519765,17504,2,3,0
1478619519766,17510,2,3,0
1478619519767,17492,2,3,0
1478619519768,17494,2,3,0
1478619519769,17496,2,3,0
1478619519770,17494,2,3,0
1478619519771,17474,2,3,0
1478619519772,17492,2,3,0
1478619519773,17496,2,3,0
1478619519774,17493,2,3,0
1478619519775,17471,2,3,0
1478619519776,17492,2,3,0
1478619519777,17474,2,3,0
1478619519778,17392,2,3,0
1478619519779,17393,2,3,0
1478619519780,17393,2,3,0
1478619519781,17395,2,3,0
1478619519782,17391,2,3,0
1478619519783,17392,2,3,0
1478619519784,17401,2,3,0
1478619519785,17467,2,3,0
1478619519786,17468,2,3,0
1478619519787,17471,2,3,0
1478619519788,17471,2,3,0
1478619519789,17467,2,3,0
1478619519790,17466,2,3,0
1478619519791,17468,2,3,0
1478619519792,17466,2,3,0
1478619519793,17467,2,3,0
1478619519794,17468,2,3,0
1478619519795,17471,2,3,0
1478619519796,17470,2,3,0
1478619519797,17470,2,3,0
1478619519798,17470,2,3,0
1478619519799,17392,2,3,0
1478619519800,17388,2,3,0
1478619519801,17387,2,3,0
1478619519802,17388,2,3,0
1478619519803,17387,2,3,0
1478619519804,17418,2,3,0
1478619519805,17474,2,3,0
1478619519806,17462,2,3,0
1478619519807,17473,2,3,0
1478619519808,17473,2,3,0
1478619519809,17473,2,3,0
1478619519810,17474,2,3,0
1478619519811,17465,2,3,0
1478619519812,17465,2,3,0
1478619519813,17401,2,3,0
1478619519814,17400,2,3,0
1478619519815,17399,2,3,0
1478619519816,17400,2,3,0
1478619519817,17400,2,3,0
1478619519818,17389,2,3,0
1478619519819,17386,2,3,0
1478619519820,17386,2,3,0
1478619519821,17385,2,3,0
1478619519822,17386,2,3,0
1478619519823,17387,2,3,0
1478619519824,17392,2,3,0
1478619519825,17386,2,3,0
1478619519826,17387,2,3,0
1478619519827,17387,2,3,0
1478619519828,17386,2,3,0
1478619519829,17387,2,3,0
1478619519830,17387,2,3,0
1478619519831,17463,2,3,0
1478619519832,17385,2,3,0
1478619519833,17386,2,3,0
1478619519834,17394,2,3,0
1478619519835,17386,2,3,0
1478619519836,17387,2,3,0
1478619519837,17393,2,3,0
1478619519838,17389,2,3,0
1478619519839,17389,2,3,0
1478619519840,17394,2,3,0
1478619519841,17388,2,3,0
1478619519842,17389,2,3,0
1478619519843,17391,2,3,0
1478619519844,17391,2,3,0
1478619519845,17395,2,3,0
1478619519846,17393,2,3,0
1478619519847,17393,2,3,0
1478619519848,17400,2,3,0
1478619519849,17395,2,3,0
1478619519850,17398,2,3,0
1478619519851,17395,2,3,0
1478619519852,17395,2,3,0
1478619519853,17403,2,3,0
1478619519854,17400,2,3,0
1478619519855,17400,2,3,0
1478619519856,17402,2,3,0
1478619519857,17401,2,3,0
1478619519858,17403,2,3,0
1478619519859,17402,2,3,0
1478619519860,17403,2,3,0
1478619519861,17409,2,3,0
1478619519862,17404,2,3,0
1478619519863,17404,2,3,0
1478619519864,17409,2,3,0
1478619519865,17404,2,3,0
1478619519866,17405,2,3,0
1478619519867,17422,2,3,0
1478619519868,17407,2,3,0
1478619519869,17405,2,3,0
1478619519870,17412,2,3,0
1478619519871,17408,2,3,0
1478619519872,17406,2,3,0
1478619519873,17409,2,3,0
1478619519874,17406,2,3,0
1478619519875,17408,2,3,0
1478619519876,17408,2,3,0
1478619519877,17406,2,3,0
1478619519878,18100,2,3,0
1478619519879,17428,2,3,0
1478619519880,17424,2,3,0
1478619519881,17420,2,3,0
1478619519882,17421,2,3,0
1478619519883,17419,2,3,0
1478619519884,17420,2,3,0
1478619519885,17984,2,3,0
1478619519886,18042,2,3,0
1478619519887,18041,2,3,0
1478619519888,17423,2,3,0
1478619519889,17407,2,3,0
1478619519890,17408,2,3,0
1478619519891,17413,2,3,0
1478619519892,17408,2,3,0
1478619519893,17409,2,3,0
1478619519894,17409,2,3,0
1478619519895,17408,2,3,0
1478619519896,17412,2,3,0
1478619519897,17407,2,3,0
1478619519898,17408,2,3,0
1478619519899,17421,2,3,0
1478619519900,17408,2,3,0
1478619519901,17407,2,3,0
1478619519902,17408,2,3,0
1478619519903,17410,2,3,0
1478619519904,17411,2,3,0
1478619519905,17413,2,3,0
1478619519906,17412,2,3,0
1478619519907,17417,2,3,0
1478619519908,17413,2,3,0
1478619519909,17412,2,3,0
1478619519910,17429,2,3,0
1478619519911,17415,2,3,0
1478619519912,17416,2,3,0
1478619519913,17420,2,3,0
1478619519914,17417,2,3,0
1478619519915,17416,2,3,0
1478619519916,17427,2,3,0
1478619519917,17419,2,3,0
1478619519918,17419,2,3,0
1478619519919,17425,2,3,0
1478619519920,17423,2,3,0
1478619519921,17421,2,3,0
1478619519922,17424,2,3,0
1478619519923,17425,2,3,0
1478619519924,17427,2,3,0
1478619519925,17425,2,3,0
1478619519926,17426,2,3,0
1478619519927,17432,2,3,0
1478619519928,17428,2,3,0
1478619519929,17434,2,3,0
1478619519930,17430,2,3,0
1478619519931,17430,2,3,0
1478619519932,17437,2,3,0
1478619519933,17431,2,3,0
1478619519934,17432,2,3,0
1478619519935,17431,2,3,0
1478619519936,17432,2,3,0
1478619519937,17435,2,3,0
1478619519938,17435,2,3,0
1478619519939,17436,2,3,0
1478619519940,17439,2,3,0
1478619519941,17439,2,3,0
1478619519942,17440,2,3,0
1478619519943,17450,2,3,0
1478619519944,17458,2,3,0
1478619519945,17504,2,3,0
1478619519946,17507,2,3,0
1478619519947,17505,2,3,0
1478619519948,17492,2,3,0
1478619519949,17508,2,3,0
1478619519950,17506,2,3,0
1478619519951,17535,2,3,0
1478619519952,17505,2,3,0
1478619519953,17514,2,3,0
1478619519954,17517,2,3,0
1478619519955,17517,2,3,0
1478619519956,17504,2,3,0
1478619519957,17519,2,3,0
1478619519958,17515,2,3,0
1478619519959,17516,2,3,0
1478619519960,17504,2,3,0
1478619519961,17439,2,3,0
1478619519962,17438,2,3,0
1478619519963,17441,2,3,0
1478619519964,17435,2,3,0
1478619519965,17436,2,3,0
1478619519966,17436,2,3,0
1478619519967,17442,2,3,0
1478619519968,17433,2,3,0
1478619519969,17434,2,3,0
1478619519970,17434,2,3,0
1478619519971,17434,2,3,0
1478619519972,17435,2,3,0
1478619519973,17433,2,3,0
1478619519974,17433,2,3,0
1478619519975,17432,2,3,0
1478619519976,17433,2,3,0
1478619519977,17432,2,3,0
1478619519978,17433,2,3,0
1478619519979,17432,2,3,0
1478619519980,17431,2,3,0
1478619519981,17430,2,3,0
1478619519982,17430,2,3,0
1478619519983,17433,2,3,0
1478619519984,17432,2,3,0
1478619519985,17431,2,3,0
1478619519986,17430,2,3,0
1478619519987,17430,2,3,0
1478619519988,17431,2,3,0
1478619519989,17430,2,3,0
1478619519990,17442,2,3,0
1478619519991,17446,2,3,0
1478619519992,17428,2,3,0
1478619519993,17428,2,3,0
1478619519994,17432,2,3,0
1478619519995,17428,2,3,0
1478619519996,17429,2,3,0
1478619519997,17427,2,3,0
1478619519998,17428,2,3,0
1478619519999,17430,2,3,0
1478619520000,17427,2,3,0
1478619520001,17427,2,3,0
1478619520002,17429,2,3,0
1478619520003,17427,2,3,0
1478619520004,17430,2,3,0
1478619520005,17426,2,3,0
1478619520006,17429,2,3,0
1478619520007,17427,2,3,0
1478619520008,17428,2,3,0
1478619520009,17426,2,3,0
1478619520010,17427,2,3,0
1478619520011,17428,2,3,0
1478619520012,17427,2,3,0
1478619520013,17433,2,3,0
1478619520014,17431,2,3,0
1478619520015,17427,2,3,0
1478619520016,17427,2,3,0
1478619520017,17429,2,3,0
1478619520018,17426,2,3,0
1478619520019,17431,2,3,0
1478619520020,17427,2,3,0
1478619520021,17427,2,3,0
1478619520022,17431,2,3,0
1478619520023,17425,2,3,0
1478619520024,17425,2,3,0
1478619520025,17442,2,3,0
1478619520026,17427,2,3,0
1478619520027,17425,2,3,0
1478619520028,17430,2,3,0
1478619520029,17425,2,3,0
1478619520030,17423,2,3,0
1478619520031,17424,2,3,0
1478619520032,17424,2,3,0
1478619520033,17426,2,3,0
1478619520034,17424,2,3,0
1478619520035,17423,2,3,0
1478619520036,17433,2,3,0
1478619520037,17423,2,3,0
1478619520038,17423,2,3,0
1478619520039,17422,2,3,0
1478619520040,17423,2,3,0
1478619520041,17423,2,3,0
1478619520042,17423,2,3,0
1478619520043,17422,2,3,0
1478619520044,17427,2,3,0
1478619520045,17424,2,3,0
1478619520046,17422,2,3,0
1478619520047,17422,2,3,0
1478619520048,17422,2,3,0
1478619520049,17421,2,3,0
1478619520050,17426,2,3,0
1478619520051,17638,2,3,0
1478619520052,17419,2,3,0
1478619520053,17420,2,3,0
1478619520054,17434,2,3,0
1478619520055,17420,2,3,0
1478619520056,17422,2,3,0
1478619520057,17425,2,3,0
1478619520058,17420,2,3,0
1478619520059,17421,2,3,0
1478619520060,17418,2,3,0
1478619520061,17420,2,3,0
1478619520062,17425,2,3,0
1478619520063,17420,2,3,0
1478619520064,17419,2,3,0
1478619520065,17436,2,3,0
1478619520066,17419,2,3,0
1478619520067,17418,2,3,0
1478619520068,17425,2,3,0
1478619520069,17418,2,3,0
1478619520070,17420,2,3,0
1478619520071,17420,2,3,0
1478619520072,17417,2,3,0
1478619520073,17417,2,3,0
1478619520074,17417,2,3,0
