Timestamp,RSSI,Configuration Version,Status Version,Calibration Action
1478821626096,18156,3,6,27
1478821626097,18422,3,6,0
1478821626098,17720,3,6,0
1478821626099,17371,3,6,0
1478821626100,17625,3,6,0
1478821626101,18340,3,6,0
1478821626102,18353,3,6,0
1478821626103,18336,3,6,0
1478821626104,18023,3,6,0
1478821626105,18410,3,6,0
1478821626106,17955,3,6,0
1478821626107,18416,3,6,0
1478821626108,18442,3,6,0
1478821626109,18421,3,6,0
1478821626110,18182,3,6,0
1478821626111,18426,3,6,0
1478821626112,18417,3,6,0
1478821626113,17554,3,6,0
1478821626114,17370,3,6,0
1478821626115,17369,3,6,0
1478821626116,17974,3,6,0
1478821626117,18382,3,6,0
1478821626118,18382,3,6,0
1478821626119,18383,3,6,0
1478821626120,17780,3,6,0
1478821626121,18380,3,6,0
1478821626122,18331,3,6,0
1478821626123,18404,3,6,0
1478821626124,18404,3,6,0
1478821626125,18417,3,6,0
1478821626126,18418,3,6,0
1478821626127,18429,3,6,0
1478821626128,17706,3,6,0
1478821626129,17505,3,6,0
1478821626130,18440,3,6,0
1478821626131,18467,3,6,0
1478821626132,18440,3,6,0
1478821626133,18454,3,6,0
1478821626134,18442,3,6,0
1478821626135,19083,3,6,0
1478821626136,17464,3,6,0
1478821626137,17363,3,6,0
1478821626138,17363,3,6,0
1478821626139,17363,3,6,0
1478821626140,17363,3,6,0
1478821626141,17364,3,6,0
1478821626142,17364,3,6,0
1478821626143,17363,3,6,0
1478821626144,17362,3,6,0
1478821626145,17363,3,6,0
1478821626146,18185,3,6,0
1478821626147,18187,3,6,0
1478821626148,17362,3,6,0
1478821626149,17362,3,6,0
1478821626150,17361,3,6,0
1478821626151,17362,3,6,0
1478821626152,17362,3,6,0
1478821626153,17363,3,6,0
1478821626154,17362,3,6,0
1478821626155,17420,3,6,0
1478821626156,18188,3,6,0
1478821626157,17953,3,6,0
1478821626158,17361,3,6,0
1478821626159,17362,3,6,0
1478821626160,17361,3,6,0
1478821626161,17359,3,6,0
1478821626162,17360,3,6,0
1478821626163,17361,3,6,0
1478821626164,17360,3,6,0
1478821626165,18378,3,6,0
1478821626166,18011,3,6,0
1478821626167,17650,3,6,0
1478821626168,17358,3,6,0
1478821626169,17359,3,6,0
1478821626170,17358,3,6,0
1478821626171,17358,3,6,0
1478821626172,17358,3,6,0
1478821626173,17358,3,6,0
1478821626174,17356,3,6,0
1478821626175,17991,3,6,0
1478821626176,18178,3,6,0
1478821626177,18087,3,6,0
1478821626178,18374,3,6,0
1478821626179,18406,3,6,0
1478821626180,18398,3,6,0
1478821626181,18407,3,6,0
1478821626182,18418,3,6,0
1478821626183,18377,3,6,0
1478821626184,18308,3,6,0
1478821626185,18400,3,6,0
1478821626186,18188,3,6,0
1478821626187,18388,3,6,0
1478821626188,18410,3,6,0
1478821626189,18406,3,6,0
1478821626190,18410,3,6,0
1478821626191,18021,3,6,0
1478821626192,18400,3,6,0
1478821626193,18414,3,6,0
1478821626194,18418,3,6,0
1478821626195,17952,3,6,0
1478821626196,18437,3,6,0
1478821626197,18436,3,6,0
1478821626198,18447,3,6,0
1478821626199,18441,3,6,0
1478821626200,18432,3,6,0
1478821626201,18439,3,6,0
1478821626202,18401,3,6,0
1478821626203,18406,3,6,0
1478821626204,18416,3,6,0
1478821626205,18405,3,6,0
1478821626206,18439,3,6,0
1478821626207,18415,3,6,0
1478821626208,18428,3,6,0
1478821626209,18447,3,6,0
1478821626210,18214,3,6,0
1478821626211,17491,3,6,0
1478821626212,19289,3,6,0
1478821626213,17355,3,6,0
1478821626214,17355,3,6,0
1478821626215,17419,3,6,0
1478821626216,18691,3,6,0
1478821626217,18704,3,6,0
1478821626218,18728,3,6,0
1478821626219,18578,3,6,0
1478821626220,17486,3,6,0
1478821626221,18754,3,6,0
1478821626222,17960,3,6,0
1478821626223,17356,3,6,0
1478821626224,17355,3,6,0
1478821626225,17355,3,6,0
1478821626226,17355,3,6,0
1478821626227,17356,3,6,0
1478821626228,17357,3,6,0
1478821626229,17357,3,6,0
1478821626230,17357,3,6,0
1478821626231,17356,3,6,0
1478821626232,17357,3,6,0
1478821626233,17357,3,6,0
1478821626234,17357,3,6,0
1478821626235,17357,3,6,0
1478821626236,17357,3,6,0
1478821626237,17358,3,6,0
1478821626238,17467,3,6,0
1478821626239,17358,3,6,0
1478821626240,17358,3,6,0
1478821626241,17359,3,6,0
1478821626242,17359,3,6,0
1478821626243,17359,3,6,0
1478821626244,17924,3,6,0
1478821626245,18433,3,6,0
1478821626246,18462,3,6,0
1478821626247,18470,3,6,0
1478821626248,18458,3,6,0
1478821626249,18466,3,6,0
1478821626250,18221,3,6,0
1478821626251,18454,3,6,0
1478821626252,18464,3,6,0
1478821626253,18453,3,6,0
1478821626254,18441,3,6,0
1478821626255,18328,3,6,0
1478821626256,19037,3,6,0
1478821626257,19052,3,6,0
1478821626258,18905,3,6,0
1478821626259,19042,3,6,0
1478821626260,18054,3,6,0
1478821626261,18366,3,6,0
1478821626262,18391,3,6,0
1478821626263,18374,3,6,0
1478821626264,18367,3,6,0
1478821626265,18400,3,6,0
1478821626266,18042,3,6,0
1478821626267,18433,3,6,0
1478821626268,18451,3,6,0
1478821626269,18464,3,6,0
1478821626270,18464,3,6,0
1478821626271,17777,3,6,0
1478821626272,17428,3,6,0
1478821626273,17367,3,6,0
1478821626274,17366,3,6,0
1478821626275,17366,3,6,0
1478821626276,17367,3,6,0
1478821626277,17368,3,6,0
1478821626278,17368,3,6,0
1478821626279,17368,3,6,0
1478821626280,17368,3,6,0
1478821626281,17369,3,6,0
1478821626282,17370,3,6,0
1478821626283,17368,3,6,0
1478821626284,17366,3,6,0
1478821626285,17367,3,6,0
1478821626286,17368,3,6,0
1478821626287,17368,3,6,0
1478821626288,17368,3,6,0
1478821626289,17369,3,6,0
1478821626290,17368,3,6,0
1478821626291,17369,3,6,0
1478821626292,17368,3,6,0
1478821626293,18192,3,6,0
1478821626294,18417,3,6,0
1478821626295,18474,3,6,0
1478821626296,18455,3,6,0
1478821626297,18455,3,6,0
1478821626298,18469,3,6,0
1478821626299,18227,3,6,0
1478821626300,18463,3,6,0
1478821626301,18478,3,6,0
1478821626302,18464,3,6,0
1478821626303,18471,3,6,0
1478821626304,18156,3,6,0
1478821626305,17961,3,6,0
1478821626306,17365,3,6,0
1478821626307,17365,3,6,0
1478821626308,17367,3,6,0
1478821626309,17365,3,6,0
1478821626310,17365,3,6,0
1478821626311,18425,3,6,0
1478821626312,17415,3,6,0
1478821626313,18216,3,6,0
1478821626314,18457,3,6,0
1478821626315,18418,3,6,0
1478821626316,18417,3,6,0
1478821626317,18436,3,6,0
1478821626318,18421,3,6,0
1478821626319,18438,3,6,0
1478821626320,18414,3,6,0
1478821626321,17451,3,6,0
1478821626322,18401,3,6,0
1478821626323,18159,3,6,0
1478821626324,17859,3,6,0
1478821626325,18474,3,6,0
1478821626326,17366,3,6,0
1478821626327,17366,3,6,0
1478821626328,17365,3,6,0
1478821626329,17367,3,6,0
1478821626330,17368,3,6,0
1478821626331,17367,3,6,0
1478821626332,17366,3,6,0
1478821626333,17366,3,6,0
1478821626334,18033,3,6,0
1478821626335,17367,3,6,0
1478821626336,17365,3,6,0
1478821626337,17481,3,6,0
1478821626338,17699,3,6,0
1478821626339,18166,3,6,0
1478821626340,18363,3,6,0
1478821626341,18374,3,6,0
1478821626342,18398,3,6,0
1478821626343,18415,3,6,0
1478821626344,18394,3,6,0
1478821626345,17812,3,6,0
1478821626346,18004,3,6,0
1478821626347,18086,3,6,0
1478821626348,17365,3,6,0
1478821626349,17366,3,6,0
1478821626350,17365,3,6,0
1478821626351,17364,3,6,0
1478821626352,17890,3,6,0
1478821626353,18218,3,6,0
1478821626354,18463,3,6,0
1478821626355,18239,3,6,0
1478821626356,18462,3,6,0
1478821626357,18434,3,6,0
1478821626358,18454,3,6,0
1478821626359,18238,3,6,0
1478821626360,17365,3,6,0
1478821626361,17362,3,6,0
1478821626362,18402,3,6,0
1478821626363,17526,3,6,0
1478821626364,18439,3,6,0
1478821626365,18460,3,6,0
1478821626366,18434,3,6,0
1478821626367,18457,3,6,0
1478821626368,18198,3,6,0
1478821626369,17589,3,6,0
1478821626370,18434,3,6,0
1478821626371,18415,3,6,0
1478821626372,18420,3,6,0
1478821626373,18433,3,6,0
1478821626374,17568,3,6,0
1478821626375,17418,3,6,0
1478821626376,17361,3,6,0
1478821626377,17362,3,6,0
1478821626378,17424,3,6,0
1478821626379,17361,3,6,0
1478821626380,17361,3,6,0
1478821626381,17361,3,6,0
1478821626382,17361,3,6,0
1478821626383,17360,3,6,0
1478821626384,17363,3,6,0
1478821626385,17362,3,6,0
1478821626386,17362,3,6,0
1478821626387,17363,3,6,0
1478821626388,17361,3,6,0
1478821626389,17364,3,6,0
1478821626390,17362,3,6,0
1478821626391,17362,3,6,0
1478821626392,18033,3,6,0
1478821626393,18492,3,6,0
1478821626394,18485,3,6,0
1478821626395,18505,3,6,0
1478821626396,18491,3,6,0
1478821626397,18488,3,6,0
1478821626398,17754,3,6,0
1478821626399,17362,3,6,0
1478821626400,17364,3,6,0
1478821626401,17370,3,6,0
1478821626402,18702,3,6,0
1478821626403,18721,3,6,0
1478821626404,18337,3,6,0
1478821626405,18420,3,6,0
1478821626406,18422,3,6,0
1478821626407,18416,3,6,0
1478821626408,18416,3,6,0
1478821626409,18190,3,6,0
1478821626410,17784,3,6,0
1478821626411,18000,3,6,0
1478821626412,18401,3,6,0
1478821626413,18424,3,6,0
1478821626414,18428,3,6,0
1478821626415,18426,3,6,0
1478821626416,18198,3,6,0
1478821626417,18211,3,6,0
1478821626418,18402,3,6,0
1478821626419,18422,3,6,0
1478821626420,18411,3,6,0
1478821626421,17563,3,6,0
1478821626422,17471,3,6,0
1478821626423,17362,3,6,0
1478821626424,17362,3,6,0
1478821626425,17363,3,6,0
1478821626426,17363,3,6,0
1478821626427,17416,3,6,0
1478821626428,17469,3,6,0
1478821626429,17362,3,6,0
1478821626430,17364,3,6,0
1478821626431,17367,3,6,0
1478821626432,18152,3,6,0
1478821626433,18425,3,6,0
1478821626434,18423,3,6,0
1478821626435,18407,3,6,0
1478821626436,18417,3,6,0
1478821626437,18178,3,6,0
1478821626438,17718,3,6,0
1478821626439,18302,3,6,0
1478821626440,17460,3,6,0
1478821626441,17804,3,6,0
1478821626442,17384,3,6,0
1478821626443,17364,3,6,0
1478821626444,17370,3,6,0
1478821626445,17364,3,6,0
1478821626446,17364,3,6,0
1478821626447,17363,3,6,0
1478821626448,17364,3,6,0
1478821626449,17364,3,6,0
1478821626450,17364,3,6,0
1478821626451,17364,3,6,0
1478821626452,17364,3,6,0
1478821626453,17362,3,6,0
1478821626454,17363,3,6,0
1478821626455,17362,3,6,0
1478821626456,17362,3,6,0
1478821626457,17363,3,6,0
1478821626458,17364,3,6,0
1478821626459,17364,3,6,0
1478821626460,17363,3,6,0
1478821626461,18064,3,6,0
1478821626462,18026,3,6,0
1478821626463,18377,3,6,0
1478821626464,18396,3,6,0
1478821626465,18385,3,6,0
1478821626466,18371,3,6,0
1478821626467,18165,3,6,0
1478821626468,18442,3,6,0
1478821626469,18421,3,6,0
1478821626470,18434,3,6,0
1478821626471,18438,3,6,0
1478821626472,18206,3,6,0
1478821626473,18431,3,6,0
1478821626474,18448,3,6,0
1478821626475,18437,3,6,0
1478821626476,18443,3,6,0
1478821626477,18220,3,6,0
1478821626478,18468,3,6,0
1478821626479,18257,3,6,0
1478821626480,18537,3,6,0
1478821626481,18591,3,6,0
1478821626482,18572,3,6,0
1478821626483,18579,3,6,0
1478821626484,18571,3,6,0
1478821626485,18199,3,6,0
1478821626486,17514,3,6,0
1478821626487,18414,3,6,0
1478821626488,18428,3,6,0
1478821626489,17473,3,6,0
1478821626490,17364,3,6,0
1478821626491,17366,3,6,0
1478821626492,17365,3,6,0
1478821626493,17366,3,6,0
1478821626494,17366,3,6,0
1478821626495,17366,3,6,0
1478821626496,17366,3,6,0
1478821626497,17367,3,6,0
1478821626498,17366,3,6,0
1478821626499,17366,3,6,0
1478821626500,17367,3,6,0
1478821626501,17365,3,6,0
1478821626502,17367,3,6,0
1478821626503,17366,3,6,0
1478821626504,17367,3,6,0
1478821626505,17367,3,6,0
1478821626506,17366,3,6,0
1478821626507,17366,3,6,0
1478821626508,17368,3,6,0
1478821626509,17367,3,6,0
1478821626510,17367,3,6,0
1478821626511,17367,3,6,0
1478821626512,17367,3,6,0
1478821626513,17367,3,6,0
1478821626514,17368,3,6,0
1478821626515,17368,3,6,0
1478821626516,17368,3,6,0
1478821626517,17366,3,6,0
1478821626518,17368,3,6,0
1478821626519,17367,3,6,0
1478821626520,17544,3,6,0
1478821626521,17367,3,6,0
1478821626522,17470,3,6,0
1478821626523,17367,3,6,0
1478821626524,17369,3,6,0
1478821626525,17367,3,6,0
1478821626526,17368,3,6,0
1478821626527,17494,3,6,0
1478821626528,17547,3,6,0
1478821626529,17804,3,6,0
1478821626530,18423,3,6,0
1478821626531,18416,3,6,0
1478821626532,18433,3,6,0
1478821626533,18427,3,6,0
1478821626534,18410,3,6,0
1478821626535,18203,3,6,0
1478821626536,18420,3,6,0
1478821626537,18409,3,6,0
1478821626538,18413,3,6,0
1478821626539,18418,3,6,0
1478821626540,17644,3,6,0
1478821626541,17506,3,6,0
1478821626542,18377,3,6,0
1478821626543,18428,3,6,0
1478821626544,18430,3,6,0
1478821626545,18426,3,6,0
1478821626546,18445,3,6,0
1478821626547,18390,3,6,0
1478821626548,17873,3,6,0
1478821626549,18403,3,6,0
1478821626550,18439,3,6,0
1478821626551,18419,3,6,0
1478821626552,18418,3,6,0
1478821626553,17537,3,6,0
1478821626554,17365,3,6,0
1478821626555,17367,3,6,0
1478821626556,17367,3,6,0
1478821626557,17365,3,6,0
1478821626558,19021,3,6,0
1478821626559,19044,3,6,0
1478821626560,19044,3,6,0
1478821626561,19065,3,6,0
1478821626562,19066,3,6,0
