Timestamp,RSSI,Configuration Version,Status Version,Calibration Action
1478781988108,21151,3,6,17
1478781988109,21159,3,6,0
1478781988110,21156,3,6,0
1478781988111,20478,3,6,0
1478781988112,20478,3,6,0
1478781988113,20480,3,6,0
1478781988114,20479,3,6,0
1478781988115,20479,3,6,0
1478781988116,20480,3,6,0
1478781988117,21129,3,6,0
1478781988118,21149,3,6,0
1478781988119,21143,3,6,0
1478781988120,21156,3,6,0
1478781988121,21149,3,6,0
1478781988122,21146,3,6,0
1478781988123,21160,3,6,0
1478781988124,21151,3,6,0
1478781988125,21146,3,6,0
1478781988126,21155,3,6,0
1478781988127,20558,3,6,0
1478781988128,21053,3,6,0
1478781988129,20553,3,6,0
1478781988130,20496,3,6,0
1478781988131,20495,3,6,0
1478781988132,20496,3,6,0
1478781988133,20642,3,6,0
1478781988134,21222,3,6,0
1478781988135,21213,3,6,0
1478781988136,20497,3,6,0
1478781988137,20496,3,6,0
1478781988138,20496,3,6,0
1478781988139,20496,3,6,0
1478781988140,20496,3,6,0
1478781988141,20496,3,6,0
1478781988142,20496,3,6,0
1478781988143,20496,3,6,0
1478781988144,20497,3,6,0
1478781988145,20496,3,6,0
1478781988146,20498,3,6,0
1478781988147,20497,3,6,0
1478781988148,20497,3,6,0
1478781988149,20497,3,6,0
1478781988150,20497,3,6,0
1478781988151,20529,3,6,0
1478781988152,20497,3,6,0
1478781988153,21158,3,6,0
1478781988154,21160,3,6,0
1478781988155,21162,3,6,0
1478781988156,21145,3,6,0
1478781988157,21152,3,6,0
1478781988158,20565,3,6,0
1478781988159,20540,3,6,0
1478781988160,20544,3,6,0
1478781988161,20540,3,6,0
1478781988162,20538,3,6,0
1478781988163,21035,3,6,0
1478781988164,21153,3,6,0
1478781988165,21160,3,6,0
1478781988166,21165,3,6,0
1478781988167,21161,3,6,0
1478781988168,21050,3,6,0
1478781988169,20567,3,6,0
1478781988170,21151,3,6,0
1478781988171,21151,3,6,0
1478781988172,21157,3,6,0
1478781988173,20559,3,6,0
1478781988174,20496,3,6,0
1478781988175,20498,3,6,0
1478781988176,20497,3,6,0
1478781988177,20497,3,6,0
1478781988178,20496,3,6,0
1478781988179,20720,3,6,0
1478781988180,20496,3,6,0
1478781988181,21007,3,6,0
1478781988182,21068,3,6,0
1478781988183,21020,3,6,0
1478781988184,21151,3,6,0
1478781988185,21158,3,6,0
1478781988186,21162,3,6,0
1478781988187,20869,3,6,0
1478781988188,20504,3,6,0
1478781988189,20604,3,6,0
1478781988190,21161,3,6,0
1478781988191,21148,3,6,0
1478781988192,21011,3,6,0
1478781988193,21156,3,6,0
1478781988194,21162,3,6,0
1478781988195,21154,3,6,0
1478781988196,21182,3,6,0
1478781988197,21010,3,6,0
1478781988198,20563,3,6,0
1478781988199,20495,3,6,0
1478781988200,20495,3,6,0
1478781988201,20495,3,6,0
1478781988202,20495,3,6,0
1478781988203,20495,3,6,0
1478781988204,20496,3,6,0
1478781988205,20496,3,6,0
1478781988206,20496,3,6,0
1478781988207,20494,3,6,0
1478781988208,21155,3,6,0
1478781988209,21150,3,6,0
1478781988210,20771,3,6,0
1478781988211,21136,3,6,0
1478781988212,20545,3,6,0
1478781988213,20481,3,6,0
1478781988214,20480,3,6,0
1478781988215,20480,3,6,0
1478781988216,20480,3,6,0
1478781988217,20481,3,6,0
1478781988218,20480,3,6,0
1478781988219,20480,3,6,0
1478781988220,20481,3,6,0
1478781988221,20481,3,6,0
1478781988222,20650,3,6,0
1478781988223,20526,3,6,0
1478781988224,20522,3,6,0
1478781988225,20494,3,6,0
1478781988226,20474,3,6,0
1478781988227,20465,3,6,0
1478781988228,20465,3,6,0
1478781988229,20465,3,6,0
1478781988230,20464,3,6,0
1478781988231,20773,3,6,0
1478781988232,21138,3,6,0
1478781988233,21140,3,6,0
1478781988234,21150,3,6,0
1478781988235,20946,3,6,0
1478781988236,20985,3,6,0
1478781988237,21153,3,6,0
1478781988238,21156,3,6,0
1478781988239,21147,3,6,0
1478781988240,21151,3,6,0
1478781988241,20548,3,6,0
1478781988242,20515,3,6,0
1478781988243,20478,3,6,0
1478781988244,20479,3,6,0
1478781988245,20480,3,6,0
1478781988246,20478,3,6,0
1478781988247,20480,3,6,0
1478781988248,20480,3,6,0
1478781988249,20479,3,6,0
1478781988250,20479,3,6,0
1478781988251,20479,3,6,0
1478781988252,20478,3,6,0
1478781988253,20479,3,6,0
1478781988254,20495,3,6,0
1478781988255,20830,3,6,0
1478781988256,20978,3,6,0
1478781988257,21154,3,6,0
1478781988258,21149,3,6,0
1478781988259,21148,3,6,0
1478781988260,21142,3,6,0
1478781988261,20527,3,6,0
1478781988262,21000,3,6,0
1478781988263,20485,3,6,0
1478781988264,20479,3,6,0
1478781988265,21090,3,6,0
1478781988266,20532,3,6,0
1478781988267,20478,3,6,0
1478781988268,20480,3,6,0
1478781988269,20480,3,6,0
1478781988270,20480,3,6,0
1478781988271,20479,3,6,0
1478781988272,20481,3,6,0
1478781988273,20480,3,6,0
1478781988274,20480,3,6,0
1478781988275,20479,3,6,0
1478781988276,20481,3,6,0
1478781988277,20481,3,6,0
1478781988278,20480,3,6,0
1478781988279,20479,3,6,0
1478781988280,20480,3,6,0
1478781988281,20481,3,6,0
1478781988282,20480,3,6,0
1478781988283,20481,3,6,0
1478781988284,20697,3,6,0
1478781988285,20716,3,6,0
1478781988286,21108,3,6,0
1478781988287,21145,3,6,0
1478781988288,20547,3,6,0
1478781988289,20481,3,6,0
1478781988290,20481,3,6,0
1478781988291,20481,3,6,0
1478781988292,20481,3,6,0
1478781988293,20482,3,6,0
1478781988294,20512,3,6,0
1478781988295,20519,3,6,0
1478781988296,20520,3,6,0
1478781988297,20521,3,6,0
1478781988298,21081,3,6,0
1478781988299,21158,3,6,0
1478781988300,21153,3,6,0
1478781988301,20482,3,6,0
1478781988302,20482,3,6,0
1478781988303,20484,3,6,0
1478781988304,20498,3,6,0
1478781988305,21116,3,6,0
1478781988306,20513,3,6,0
1478781988307,20517,3,6,0
1478781988308,20840,3,6,0
1478781988309,20665,3,6,0
1478781988310,21137,3,6,0
1478781988311,21138,3,6,0
1478781988312,21134,3,6,0
1478781988313,21150,3,6,0
1478781988314,21137,3,6,0
1478781988315,21127,3,6,0
1478781988316,21152,3,6,0
1478781988317,21158,3,6,0
1478781988318,21155,3,6,0
1478781988319,21157,3,6,0
1478781988320,21060,3,6,0
1478781988321,20490,3,6,0
1478781988322,20519,3,6,0
1478781988323,20489,3,6,0
1478781988324,20489,3,6,0
1478781988325,20490,3,6,0
1478781988326,20488,3,6,0
1478781988327,20490,3,6,0
1478781988328,20488,3,6,0
1478781988329,20489,3,6,0
1478781988330,20488,3,6,0
1478781988331,20489,3,6,0
1478781988332,20487,3,6,0
1478781988333,20488,3,6,0
1478781988334,20488,3,6,0
1478781988335,20487,3,6,0
1478781988336,20488,3,6,0
1478781988337,20488,3,6,0
1478781988338,20487,3,6,0
1478781988339,20536,3,6,0
1478781988340,21152,3,6,0
1478781988341,21149,3,6,0
1478781988342,20769,3,6,0
1478781988343,20485,3,6,0
1478781988344,20471,3,6,0
1478781988345,20470,3,6,0
1478781988346,20472,3,6,0
1478781988347,20471,3,6,0
1478781988348,20471,3,6,0
1478781988349,21060,3,6,0
1478781988350,21204,3,6,0
1478781988351,21225,3,6,0
1478781988352,21237,3,6,0
1478781988353,21221,3,6,0
1478781988354,21068,3,6,0
1478781988355,20890,3,6,0
1478781988356,20530,3,6,0
1478781988357,20649,3,6,0
1478781988358,21143,3,6,0
1478781988359,21006,3,6,0
1478781988360,20487,3,6,0
1478781988361,20488,3,6,0
1478781988362,20486,3,6,0
1478781988363,20485,3,6,0
1478781988364,20918,3,6,0
1478781988365,20561,3,6,0
1478781988366,20483,3,6,0
1478781988367,20483,3,6,0
1478781988368,20516,3,6,0
1478781988369,20515,3,6,0
1478781988370,20529,3,6,0
1478781988371,21146,3,6,0
1478781988372,21168,3,6,0
1478781988373,21156,3,6,0
1478781988374,21161,3,6,0
1478781988375,20550,3,6,0
1478781988376,21163,3,6,0
1478781988377,20603,3,6,0
1478781988378,21142,3,6,0
1478781988379,20561,3,6,0
1478781988380,20484,3,6,0
1478781988381,20484,3,6,0
1478781988382,20482,3,6,0
1478781988383,20483,3,6,0
1478781988384,20482,3,6,0
1478781988385,20483,3,6,0
1478781988386,20484,3,6,0
1478781988387,20482,3,6,0
1478781988388,20484,3,6,0
1478781988389,20483,3,6,0
1478781988390,20484,3,6,0
1478781988391,20482,3,6,0
1478781988392,20483,3,6,0
1478781988393,20482,3,6,0
1478781988394,20483,3,6,0
1478781988395,20482,3,6,0
