Version,Timestamp,Height,Weight,Wrist Size
1,1477578013512,168,55700,190
2,1477578962414,168,55700,215
3,1477579744535,168,55700,225
4,1477919768878,168,55000,225
5,1477919778156,168,55000,187
6,1477919947741,168,55000,187
