Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477920554020,23229,1,6,0
1477920554021,23229,1,6,0
1477920554022,23228,1,6,0
1477920554023,23228,1,6,0
1477920554024,23228,1,6,0
1477920554025,23227,1,6,0
1477920554026,23227,1,6,0
1477920554027,23228,1,6,0
1477920554028,23228,1,6,0
1477920554029,23227,1,6,0
1477920554030,23227,1,6,0
1477920554031,23226,1,6,0
1477920554032,23227,1,6,0
1477920554033,23226,1,6,0
1477920554034,23226,1,6,0
1477920554035,23226,1,6,0
1477920554036,23226,1,6,0
1477920554037,23226,1,6,0
1477920554038,23226,1,6,0
1477920554039,23225,1,6,0
1477920554040,23225,1,6,0
1477920554041,23226,1,6,0
1477920554042,23225,1,6,0
1477920554043,23225,1,6,0
1477920554044,23225,1,6,0
1477920554045,23223,1,6,0
1477920554046,23222,1,6,0
1477920554047,23224,1,6,0
1477920554048,23226,1,6,0
1477920554049,23223,1,6,0
1477920554050,23225,1,6,0
1477920554051,23224,1,6,0
1477920554052,23223,1,6,0
1477920554053,23223,1,6,0
1477920554054,23224,1,6,0
1477920554055,23222,1,6,0
1477920554056,23223,1,6,0
1477920554057,23222,1,6,0
1477920554058,23223,1,6,0
1477920554059,23223,1,6,0
1477920554060,23223,1,6,0
1477920554061,23222,1,6,0
1477920554062,23223,1,6,0
1477920554063,23223,1,6,0
1477920554064,23221,1,6,0
1477920554065,23221,1,6,0
1477920554066,23221,1,6,0
1477920554067,23221,1,6,0
1477920554068,23222,1,6,0
1477920554069,23222,1,6,0
1477920554070,23222,1,6,0
1477920554071,23222,1,6,0
1477920554072,23221,1,6,0
1477920554073,23220,1,6,0
1477920554074,23221,1,6,0
1477920554075,23222,1,6,0
1477920554076,23223,1,6,0
1477920554077,23222,1,6,0
1477920554078,23221,1,6,0
1477920554079,23222,1,6,0
1477920554080,23221,1,6,0
1477920554081,23220,1,6,0
1477920554082,23222,1,6,0
1477920554083,23220,1,6,0
1477920554084,23222,1,6,0
1477920554085,23222,1,6,0
1477920554086,23220,1,6,0
1477920554087,23221,1,6,0
1477920554088,23219,1,6,0
1477920554089,23223,1,6,0
1477920554090,23222,1,6,0
1477920554091,23220,1,6,0
1477920554092,23219,1,6,0
1477920554093,23221,1,6,0
1477920554094,23219,1,6,0
1477920554095,23222,1,6,0
1477920554096,23221,1,6,0
1477920554097,23220,1,6,0
1477920554098,23220,1,6,0
1477920554099,23221,1,6,0
1477920554100,23221,1,6,0
1477920554101,23220,1,6,0
1477920554102,23219,1,6,0
1477920554103,23219,1,6,0
1477920554104,23220,1,6,0
1477920554105,23221,1,6,0
1477920554106,23221,1,6,0
1477920554107,23220,1,6,0
1477920554108,23224,1,6,0
1477920554109,23227,1,6,0
1477920554110,23229,1,6,0
1477920554111,23230,1,6,0
1477920554112,23231,1,6,0
1477920554113,23233,1,6,0
1477920554114,23233,1,6,0
1477920554115,23232,1,6,0
1477920554116,23232,1,6,0
1477920554117,23233,1,6,0
1477920554118,23231,1,6,0
1477920554119,23234,1,6,0
1477920554120,23233,1,6,0
1477920554121,23231,1,6,0
1477920554122,23231,1,6,0
1477920554123,23231,1,6,0
1477920554124,23230,1,6,0
1477920554125,23229,1,6,0
1477920554126,23229,1,6,0
1477920554127,23228,1,6,0
1477920554128,23228,1,6,0
1477920554129,23226,1,6,0
1477920554130,23227,1,6,0
1477920554131,23225,1,6,0
1477920554132,23226,1,6,0
1477920554133,23226,1,6,0
1477920554134,23226,1,6,0
1477920554135,23225,1,6,0
1477920554136,23226,1,6,0
1477920554137,23227,1,6,0
1477920554138,23227,1,6,0
1477920554139,23227,1,6,0
1477920554140,23228,1,6,0
1477920554141,23228,1,6,0
1477920554142,23229,1,6,0
1477920554143,23228,1,6,0
1477920554144,23230,1,6,0
1477920554145,23230,1,6,0
1477920554146,23231,1,6,0
1477920554147,23231,1,6,0
1477920554148,23231,1,6,0
1477920554149,23233,1,6,0
1477920554150,23234,1,6,0
1477920554151,23234,1,6,0
1477920554152,23234,1,6,0
1477920554153,23234,1,6,0
1477920554154,23234,1,6,0
1477920554155,23236,1,6,0
1477920554156,23237,1,6,0
1477920554157,23237,1,6,0
1477920554158,23236,1,6,0
1477920554159,23236,1,6,0
1477920554160,23235,1,6,0
1477920554161,23236,1,6,0
1477920554162,23236,1,6,0
1477920554163,23237,1,6,0
1477920554164,23236,1,6,0
1477920554165,23236,1,6,0
1477920554166,23235,1,6,0
1477920554167,23236,1,6,0
1477920554168,23236,1,6,0
1477920554169,23235,1,6,0
1477920554170,23235,1,6,0
1477920554171,23237,1,6,0
1477920554172,23234,1,6,0
1477920554173,23235,1,6,0
1477920554174,23236,1,6,0
1477920554175,23236,1,6,0
1477920554176,23234,1,6,0
1477920554177,23236,1,6,0
1477920554178,23235,1,6,0
1477920554179,23235,1,6,0
1477920554180,23235,1,6,0
1477920554181,23236,1,6,0
1477920554182,23233,1,6,0
1477920554183,23234,1,6,0
1477920554184,23233,1,6,0
