Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477920144440,23313,1,6,0
1477920144441,23313,1,6,0
1477920144442,23312,1,6,0
1477920144443,23314,1,6,0
1477920144444,23312,1,6,0
1477920144445,23312,1,6,0
1477920144446,23313,1,6,0
1477920144447,23311,1,6,0
1477920144448,23314,1,6,0
1477920144449,23312,1,6,0
1477920144450,23313,1,6,0
1477920144451,23313,1,6,0
1477920144452,23312,1,6,0
1477920144453,23310,1,6,0
1477920144454,23313,1,6,0
1477920144455,23312,1,6,0
1477920144456,23311,1,6,0
1477920144457,23313,1,6,0
1477920144458,23312,1,6,0
1477920144459,23312,1,6,0
1477920144460,23312,1,6,0
1477920144461,23311,1,6,0
1477920144462,23312,1,6,0
1477920144463,23311,1,6,0
1477920144464,23311,1,6,0
1477920144465,23311,1,6,0
1477920144466,23312,1,6,0
1477920144467,23310,1,6,0
1477920144468,23313,1,6,0
1477920144469,23313,1,6,0
1477920144470,23312,1,6,0
1477920144471,23313,1,6,0
1477920144472,23312,1,6,0
1477920144473,23313,1,6,0
1477920144474,23312,1,6,0
1477920144475,23313,1,6,0
1477920144476,23312,1,6,0
1477920144477,23310,1,6,0
1477920144478,23311,1,6,0
1477920144479,23313,1,6,0
1477920144480,23311,1,6,0
1477920144481,23312,1,6,0
1477920144482,23312,1,6,0
1477920144483,23312,1,6,0
1477920144484,23313,1,6,0
1477920144485,23312,1,6,0
1477920144486,23312,1,6,0
1477920144487,23312,1,6,0
1477920144488,23314,1,6,0
1477920144489,23314,1,6,0
1477920144490,23314,1,6,0
1477920144491,23313,1,6,0
1477920144492,23314,1,6,0
1477920144493,23315,1,6,0
1477920144494,23315,1,6,0
1477920144495,23314,1,6,0
1477920144496,23314,1,6,0
1477920144497,23313,1,6,0
1477920144498,23315,1,6,0
1477920144499,23315,1,6,0
1477920144500,23314,1,6,0
1477920144501,23315,1,6,0
1477920144502,23314,1,6,0
1477920144503,23315,1,6,0
1477920144504,23315,1,6,0
1477920144505,23315,1,6,0
1477920144506,23315,1,6,0
1477920144507,23316,1,6,0
1477920144508,23309,1,6,0
1477920144509,23314,1,6,0
1477920144510,23316,1,6,0
1477920144511,23317,1,6,0
1477920144512,23315,1,6,0
1477920144513,23317,1,6,0
1477920144514,23316,1,6,0
1477920144515,23316,1,6,0
1477920144516,23316,1,6,0
1477920144517,23317,1,6,0
1477920144518,23318,1,6,0
1477920144519,23319,1,6,0
1477920144520,23317,1,6,0
1477920144521,23318,1,6,0
1477920144522,23317,1,6,0
1477920144523,23318,1,6,0
1477920144524,23317,1,6,0
1477920144525,23317,1,6,0
1477920144526,23318,1,6,0
1477920144527,23317,1,6,0
1477920144528,23317,1,6,0
1477920144529,23317,1,6,0
1477920144530,23317,1,6,0
1477920144531,23318,1,6,0
1477920144532,23319,1,6,0
1477920144533,23319,1,6,0
1477920144534,23317,1,6,0
1477920144535,23319,1,6,0
1477920144536,23318,1,6,0
1477920144537,23317,1,6,0
1477920144538,23318,1,6,0
1477920144539,23317,1,6,0
1477920144540,23319,1,6,0
1477920144541,23319,1,6,0
1477920144542,23318,1,6,0
1477920144543,23318,1,6,0
1477920144544,23318,1,6,0
1477920144545,23319,1,6,0
1477920144546,23320,1,6,0
1477920144547,23319,1,6,0
1477920144548,23319,1,6,0
1477920144549,23318,1,6,0
1477920144550,23320,1,6,0
1477920144551,23318,1,6,0
1477920144552,23319,1,6,0
1477920144553,23319,1,6,0
1477920144554,23319,1,6,0
1477920144555,23318,1,6,0
1477920144556,23319,1,6,0
1477920144557,23319,1,6,0
1477920144558,23320,1,6,0
1477920144559,23319,1,6,0
1477920144560,23319,1,6,0
1477920144561,23319,1,6,0
1477920144562,23319,1,6,0
1477920144563,23320,1,6,0
1477920144564,23318,1,6,0
1477920144565,23318,1,6,0
1477920144566,23318,1,6,0
1477920144567,23320,1,6,0
