Timestamp,Count,Configuration Version,Status Version,Calibration Action
1477920799768,23478,1,6,0
1477920799769,23481,1,6,0
1477920799770,23483,1,6,0
1477920799771,23484,1,6,0
1477920799772,23486,1,6,0
1477920799773,23490,1,6,0
1477920799774,23490,1,6,0
1477920799775,23491,1,6,0
1477920799776,23492,1,6,0
1477920799777,23494,1,6,0
1477920799778,23494,1,6,0
1477920799779,23496,1,6,0
1477920799780,23496,1,6,0
1477920799781,23497,1,6,0
1477920799782,23497,1,6,0
1477920799783,23497,1,6,0
1477920799784,23497,1,6,0
1477920799785,23498,1,6,0
1477920799786,23498,1,6,0
1477920799787,23494,1,6,0
1477920799788,23494,1,6,0
1477920799789,23494,1,6,0
1477920799790,23493,1,6,0
1477920799791,23490,1,6,0
1477920799792,23489,1,6,0
1477920799793,23490,1,6,0
1477920799794,23489,1,6,0
1477920799795,23489,1,6,0
1477920799796,23485,1,6,0
1477920799797,23484,1,6,0
1477920799798,23482,1,6,0
1477920799799,23479,1,6,0
1477920799800,23477,1,6,0
1477920799801,23475,1,6,0
1477920799802,23471,1,6,0
1477920799803,23471,1,6,0
1477920799804,23469,1,6,0
1477920799805,23466,1,6,0
1477920799806,23464,1,6,0
1477920799807,23461,1,6,0
1477920799808,23484,1,6,0
1477920799809,23480,1,6,0
1477920799810,23481,1,6,0
1477920799811,23481,1,6,0
1477920799812,23482,1,6,0
1477920799813,23481,1,6,0
1477920799814,23482,1,6,0
1477920799815,23481,1,6,0
1477920799816,23481,1,6,0
1477920799817,23480,1,6,0
1477920799818,23479,1,6,0
1477920799819,23478,1,6,0
1477920799820,23478,1,6,0
1477920799821,23477,1,6,0
1477920799822,23479,1,6,0
1477920799823,23476,1,6,0
1477920799824,23476,1,6,0
1477920799825,23475,1,6,0
1477920799826,23476,1,6,0
1477920799827,23476,1,6,0
1477920799828,23475,1,6,0
1477920799829,23476,1,6,0
1477920799830,23475,1,6,0
1477920799831,23476,1,6,0
1477920799832,23475,1,6,0
1477920799833,23474,1,6,0
1477920799834,23475,1,6,0
1477920799835,23474,1,6,0
1477920799836,23473,1,6,0
1477920799837,23472,1,6,0
1477920799838,23472,1,6,0
1477920799839,23473,1,6,0
1477920799840,23472,1,6,0
1477920799841,23472,1,6,0
1477920799842,23471,1,6,0
1477920799843,23471,1,6,0
1477920799844,23469,1,6,0
1477920799845,23471,1,6,0
1477920799846,23470,1,6,0
1477920799847,23470,1,6,0
1477920799848,23469,1,6,0
1477920799849,23470,1,6,0
1477920799850,23468,1,6,0
1477920799851,23469,1,6,0
1477920799852,23470,1,6,0
1477920799853,23466,1,6,0
1477920799854,23468,1,6,0
1477920799855,23467,1,6,0
1477920799856,23467,1,6,0
1477920799857,23465,1,6,0
1477920799858,23466,1,6,0
1477920799859,23464,1,6,0
1477920799860,23465,1,6,0
1477920799861,23465,1,6,0
1477920799862,23464,1,6,0
1477920799863,23465,1,6,0
1477920799864,23464,1,6,0
1477920799865,23464,1,6,0
1477920799866,23464,1,6,0
1477920799867,23465,1,6,0
1477920799868,23465,1,6,0
1477920799869,23463,1,6,0
1477920799870,23464,1,6,0
1477920799871,23463,1,6,0
1477920799872,23461,1,6,0
1477920799873,23463,1,6,0
1477920799874,23462,1,6,0
1477920799875,23462,1,6,0
1477920799876,23463,1,6,0
1477920799877,23463,1,6,0
1477920799878,23462,1,6,0
1477920799879,23462,1,6,0
1477920799880,23462,1,6,0
1477920799881,23462,1,6,0
1477920799882,23462,1,6,0
1477920799883,23461,1,6,0
1477920799884,23460,1,6,0
1477920799885,23463,1,6,0
1477920799886,23462,1,6,0
1477920799887,23461,1,6,0
1477920799888,23460,1,6,0
1477920799889,23460,1,6,0
1477920799890,23460,1,6,0
1477920799891,23461,1,6,0
1477920799892,23460,1,6,0
1477920799893,23461,1,6,0
1477920799894,23462,1,6,0
1477920799895,23461,1,6,0
1477920799896,23462,1,6,0
1477920799897,23461,1,6,0
1477920799898,23462,1,6,0
1477920799899,23462,1,6,0
1477920799900,23461,1,6,0
1477920799901,23462,1,6,0
1477920799902,23462,1,6,0
1477920799903,23461,1,6,0
1477920799904,23461,1,6,0
1477920799905,23462,1,6,0
1477920799906,23462,1,6,0
1477920799907,23461,1,6,0
1477920799908,23465,1,6,0
1477920799909,23460,1,6,0
1477920799910,23462,1,6,0
1477920799911,23463,1,6,0
1477920799912,23464,1,6,0
1477920799913,23463,1,6,0
1477920799914,23463,1,6,0
1477920799915,23462,1,6,0
1477920799916,23464,1,6,0
1477920799917,23464,1,6,0
1477920799918,23463,1,6,0
1477920799919,23464,1,6,0
1477920799920,23464,1,6,0
1477920799921,23465,1,6,0
1477920799922,23466,1,6,0
1477920799923,23464,1,6,0
1477920799924,23465,1,6,0
1477920799925,23465,1,6,0
1477920799926,23466,1,6,0
1477920799927,23466,1,6,0
1477920799928,23466,1,6,0
1477920799929,23467,1,6,0
1477920799930,23467,1,6,0
1477920799931,23466,1,6,0
1477920799932,23466,1,6,0
1477920799933,23465,1,6,0
1477920799934,23466,1,6,0
1477920799935,23468,1,6,0
1477920799936,23467,1,6,0
1477920799937,23467,1,6,0
1477920799938,23468,1,6,0
1477920799939,23468,1,6,0
1477920799940,23470,1,6,0
1477920799941,23467,1,6,0
1477920799942,23468,1,6,0
1477920799943,23470,1,6,0
1477920799944,23470,1,6,0
1477920799945,23471,1,6,0
1477920799946,23470,1,6,0
1477920799947,23469,1,6,0
1477920799948,23470,1,6,0
1477920799949,23470,1,6,0
1477920799950,23471,1,6,0
1477920799951,23472,1,6,0
1477920799952,23470,1,6,0
1477920799953,23472,1,6,0
1477920799954,23469,1,6,0
1477920799955,23470,1,6,0
1477920799956,23472,1,6,0
1477920799957,23471,1,6,0
1477920799958,23471,1,6,0
1477920799959,23471,1,6,0
1477920799960,23472,1,6,0
1477920799961,23471,1,6,0
1477920799962,23472,1,6,0
1477920799963,23471,1,6,0
1477920799964,23472,1,6,0
1477920799965,23470,1,6,0
1477920799966,23471,1,6,0
1477920799967,23472,1,6,0
1477920799968,23472,1,6,0
1477920799969,23472,1,6,0
1477920799970,23471,1,6,0
1477920799971,23471,1,6,0
1477920799972,23469,1,6,0
1477920799973,23470,1,6,0
1477920799974,23471,1,6,0
1477920799975,23471,1,6,0
1477920799976,23470,1,6,0
1477920799977,23471,1,6,0
1477920799978,23471,1,6,0
1477920799979,23471,1,6,0
1477920799980,23472,1,6,0
1477920799981,23471,1,6,0
1477920799982,23472,1,6,0
1477920799983,23471,1,6,0
1477920799984,23471,1,6,0
1477920799985,23470,1,6,0
1477920799986,23471,1,6,0
1477920799987,23471,1,6,0
1477920799988,23471,1,6,0
1477920799989,23471,1,6,0
1477920799990,23471,1,6,0
1477920799991,23470,1,6,0
1477920799992,23473,1,6,0
1477920799993,23471,1,6,0
1477920799994,23472,1,6,0
1477920799995,23471,1,6,0
1477920799996,23471,1,6,0
1477920799997,23472,1,6,0
